# Basic macro run statistics:,,,,,,,,,,,,,,,,,,,
# Date and time: 2023-08-14 18:09:28,,,,,,,,,,,,,,,,,,,
# Macro version: 13,,,,,,,,,,,,,,,,,,,
# Channel: 1,,,,,,,,,,,,,,,,,,,
# Cell (ROI) size interval: 5-Infinity um^2,,,,,,,,,,,,,,,,,,,
# Coefficient of variance threshold: 0,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,
exp_code,BR_date,strain,medium,time,condition,frame,mean_background,cell_no,patch_density(find_maxima),patch_density(analyze_particles),area_fraction(patch_vs_ROI),length,length_SD,width,width_SD,size,size_SD,mean_patch_intensity,mean_patch_intensity_SD
230811_k,230623,Y1492,SMDGE,24h,control,4,605.2122,29,4.6511,5.6087,29.4216,0.3323,0.1043,0.1942,0.04663,0.05246,0.0257,6387.5375,3370.8267
230811_k,230623,Y1492,SMDGE,24h,control,4,605.2122,30,4.0727,4.0727,27.6589,0.3578,0.104,0.2323,0.05191,0.06791,0.03027,6606.5119,3891.9285
230811_k,230623,Y1492,SMDGE,24h,control,4,605.2122,31,4.718,4.718,25.5256,0.3122,0.08119,0.2146,0.04076,0.0541,0.02116,5257.9553,3490.5979
230811_k,230623,Y1492,SMDGE,24h,control,4,605.2122,32,4.8036,4.8036,28.4528,0.3303,0.08541,0.221,0.04965,0.05923,0.02649,7144.3481,3629.7075
230811_k,230623,Y1492,SMDGE,24h,control,4,605.2122,33,4.2856,4.6331,21.5401,0.2903,0.06508,0.1974,0.04385,0.04649,0.01874,5836.9398,3357.7558
230811_k,230623,Y1492,SMDGE,24h,control,5,640.9028,1,4.291,4.3863,24.0432,0.3115,0.09631,0.2155,0.0448,0.05481,0.02573,4935.3172,3313.0355
230811_k,230623,Y1492,SMDGE,24h,control,5,640.9028,2,4.1079,3.8731,25.3146,0.343,0.07525,0.2359,0.05665,0.06536,0.02713,5825.4772,3069.7128
230811_k,230623,Y1492,SMDGE,24h,control,5,640.9028,3,5.277,4.8114,29.767,0.3346,0.1044,0.2204,0.05868,0.06187,0.03299,6255.3107,3054.5205
230811_k,230623,Y1492,SMDGE,24h,control,5,640.9028,4,4.756,4.756,35.2623,0.3861,0.1128,0.2364,0.05287,0.07414,0.03307,7131.2206,3239.2801
230811_k,230623,Y1492,SMDGE,24h,control,5,640.9028,5,4.4531,4.6938,25.9218,0.3195,0.09344,0.2133,0.04038,0.05523,0.02387,6572.0071,3714.2428
230811_k,230623,Y1492,SMDGE,24h,control,5,640.9028,6,4.9054,4.9997,29.104,0.331,0.08687,0.2191,0.03377,0.05821,0.02181,6635.7071,3718.6579
